"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-CSC 2560,201480,02/25/2014 3:01:47 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,2500,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,7806,0,,,
P-CSC 2700,201780,02/15/2017,Y,1,Y,N,N,N,Y,A10,100,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3600,0,,,
P-CSC 2710,201780,02/15/2017,Y,2,Y,N,N,N,Y,A10,200,,CSC,2700,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3615,0,,,
P-CSC 2710,201780,02/15/2017,Y,3,Y,N,N,N,Y,A20,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,3616,0,,,
P-CSC 2710,201780,02/15/2017,Y,4,Y,N,N,N,Y,A20,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,3617,0,,,
P-CSC 2710,201780,02/15/2017,Y,5,Y,N,N,N,Y,A20,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,3618,0,,,
P-CSC 2710,201780,02/15/2017,Y,1,Y,N,N,N,Y,A10,100,,CSC,1610,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3614,0,,,
P-CSC 2770,202180,03/05/2021 4:30:41 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14196,0,,,
P-CSC 3020,201780,02/15/2017,Y,6,Y,N,N,N,Y,A10,200,,CSC,2100,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3622,0,,,
P-CSC 3020,201780,02/15/2017,Y,5,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3621,0,,,
P-CSC 3020,201780,02/15/2017,Y,4,Y,N,N,N,Y,A10,300,,ENGR,1120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3620,0,,,
P-CSC 3020,201780,02/15/2017 4:25:22 PM,Y,3,Y,N,N,N,Y,A10,100,,MATH,1920,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3619,0,,,
P-CSC 3030,202180,08/31/2021 3:11:59 PM,Y,4,Y,N,N,N,Y,A20,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15587,0,,,
P-CSC 3030,202180,08/31/2021 3:11:59 PM,Y,3,Y,N,N,N,Y,A20,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15586,0,,,
P-CSC 3030,202180,08/31/2021 3:11:59 PM,Y,2,Y,N,N,N,Y,A10,200,,PC,2500,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15585,0,,,
P-CSC 3030,202180,08/31/2021 3:12:27 PM,Y,1,Y,N,N,N,Y,A10,100,,COMM,2025,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15584,1,,,
P-CSC 3030,202180,08/31/2021 3:11:59 PM,Y,5,Y,N,N,N,Y,A20,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15588,0,,,
P-CSC 3040,202180,08/31/2021 3:14:10 PM,Y,4,Y,N,N,N,Y,A20,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15592,0,,,
P-CSC 3040,202180,08/31/2021 3:14:10 PM,Y,5,Y,N,N,N,Y,A20,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15593,0,,,
P-CSC 3040,202180,08/31/2021 3:14:10 PM,Y,3,Y,N,N,N,Y,A20,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15591,0,,,
P-CSC 3040,202180,08/31/2021 3:14:10 PM,Y,2,Y,N,N,N,Y,A10,200,,PC,2500,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15590,0,,,
P-CSC 3040,202180,08/31/2021 3:14:35 PM,Y,1,Y,N,N,N,Y,A10,100,,COMM,2025,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15589,1,,,
P-CSC 3100,201780,02/16/2017,Y,3,Y,N,N,N,Y,A10,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3482,0,,,
P-CSC 3100,201780,02/16/2017,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3480,0,,,
P-CSC 3100,201780,02/16/2017,Y,2,Y,N,N,N,Y,A10,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3481,0,,,
P-CSC 3220,202180,03/05/2021 4:22:30 PM,Y,2,Y,N,N,N,Y,A10,100,,MATH,3070,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14187,1,,,
P-CSC 3220,202180,03/05/2021 4:24:49 PM,Y,6,Y,N,N,N,Y,A20,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14191,2,,,
P-CSC 3220,202180,03/05/2021 4:22:30 PM,Y,9,Y,N,N,N,Y,A10,400,,MATH,5470,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14194,0,,,
P-CSC 3220,202180,03/05/2021 4:22:30 PM,Y,4,Y,N,N,N,Y,A10,300,,MATH,4470,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14189,1,,,
P-CSC 3220,202180,03/05/2021 4:22:30 PM,Y,1,Y,N,N,N,Y,A10,100,,MATH,2010,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,14186,1,,,
P-CSC 3220,202180,03/05/2021 4:22:30 PM,Y,3,Y,N,N,N,Y,A10,200,,MATH,3470,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14188,1,,,
P-CSC 3220,202180,03/05/2021 4:24:49 PM,Y,5,Y,N,N,N,Y,A20,100,,CSC,3300,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,14190,2,,,
P-CSC 3220,202180,03/25/2021 2:54:31 PM,Y,10,Y,N,N,N,Y,A20,100,,CSC,2220,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14195,1,,,
P-CSC 3230,201610,11/10/2015,Y,2,Y,N,N,N,Y,A10,100,,MATH,3070,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3013,0,,,
P-CSC 3230,201610,11/10/2015,Y,3,Y,N,N,N,Y,A10,200,,MATH,3470,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3014,0,,,
P-CSC 3230,201610,11/10/2015,Y,1,Y,N,N,N,Y,A10,100,,CSC,2400,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3012,0,,,
P-CSC 3300,202080,03/31/2020 1:53:08 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13303,0,,,
P-CSC 3300,202080,03/31/2020 1:54:26 PM,Y,5,Y,N,N,N,Y,A20,200,,ECE,2110,,,,,,,,,,,,,,,,,,,,,,N,,,,N,13307,0,,,
P-CSC 3300,202080,03/31/2020 1:54:26 PM,Y,4,Y,N,N,N,Y,A20,100,,CSC,2700,,,,,,,,,,,,,,,,,,,,,,N,,,,N,13306,0,,,
P-CSC 3300,202080,03/31/2020 1:53:08 PM,Y,3,Y,N,N,N,Y,A10,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13305,0,,,
P-CSC 3300,202080,03/31/2020 1:53:08 PM,Y,2,Y,N,N,N,Y,A10,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13304,0,,,
P-CSC 3310,201210,01/03/2012,Y,3,Y,N,N,N,Y,A10,100,,CSC,1610,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6255,0,,,
P-CSC 3310,201210,01/03/2012,Y,2,Y,N,N,N,Y,A10,100,,CSC,2100,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6254,0,,,
P-CSC 3340,201780,02/16/2017,Y,4,Y,N,N,N,Y,A10,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3488,0,,,
P-CSC 3340,201780,02/16/2017,Y,5,Y,N,N,N,Y,A10,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3489,0,,,
P-CSC 3340,201780,02/16/2017,Y,3,Y,N,N,N,Y,A20,100,,MATH,2010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3487,0,,,
P-CSC 3340,201780,02/16/2017,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3486,0,,,
P-CSC 3350,201080,02/22/2010,Y,0,Y,N,N,N,Y,A10,100,,MATH,3470,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6223,0,,,
P-CSC 3400,201210,01/03/2012,Y,3,Y,N,N,N,Y,A10,200,,CSC,2120,2121,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6259,0,,,
P-CSC 3400,201210,01/03/2012,Y,2,Y,N,N,N,Y,A10,100,,CSC,2400,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6257,0,,,
P-CSC 3402,201210,01/03/2012,Y,2,Y,N,N,N,Y,A10,100,,CSC,2400,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6261,0,,,
P-CSC 3402,201210,01/03/2012,Y,3,Y,N,N,N,Y,A10,200,,CSC,2120,2121,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6262,0,,,
P-CSC 3410,201780,02/16/2017,Y,2,Y,N,N,N,Y,A10,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3491,0,,,
P-CSC 3410,201780,02/16/2017,Y,3,Y,N,N,N,Y,A10,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3492,0,,,
P-CSC 3410,201780,02/16/2017,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3490,0,,,
P-CSC 3550,201180,04/20/2011,Y,1,Y,N,N,N,Y,A10,100,,CSC,2500,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,9821,0,,,
P-CSC 3550,201180,04/20/2011,Y,2,Y,N,N,N,Y,A10,100,,CSC,2560,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,9822,0,,,
P-CSC 3560,201180,04/20/2011,Y,2,Y,N,N,N,Y,A10,100,,CSC,2560,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,9824,0,,,
P-CSC 3560,201180,04/20/2011,Y,1,Y,N,N,N,Y,A10,100,,CSC,2500,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,9823,0,,,
P-CSC 3570,202180,03/05/2021 3:41:25 PM,Y,2,Y,N,N,N,Y,A10,200,,CSC,2510,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14181,0,,,
P-CSC 3570,202180,08/31/2021 3:17:06 PM,Y,4,Y,N,N,N,Y,A20,200,,CSC,4200,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,14183,2,,,
P-CSC 3570,202180,08/31/2021 3:17:06 PM,Y,5,Y,N,N,N,Y,A20,300,,CSC,5200,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14216,2,,,
P-CSC 3570,202180,08/31/2021 3:17:06 PM,Y,3,Y,N,N,N,Y,A20,100,,CSC,2570,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14182,1,,,
P-CSC 3570,202180,03/05/2021 3:41:25 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,2500,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14180,0,,,
